Earmark Description,Location,Amount,Administering State Agency,State Agency Contact,Account Number,Earmark Language
Leaving the Streets Ministries,Haverhill,50000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $50,000 shall be expended for Leaving the Streets Ministries in Haverhill for violence prevention and street work"
Leicester Public Schools Boiler Repairs,Leicester,85000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100015,"provided further, that not less than $85,000 shall be expended to the town of Leicester for boiler replacement or repairs within the Leicester public schools"
Leominster Early Education Center Feasibility Study,Leominster,100000,EEC - Department Of Early Education & Care,sean.reynolds@mass.gov,70100013,"provided further, that not less than $100,000 shall be expended for the Leominster public schools to conduct a feasibility study for an early childhood education center"
Leominster Modular Classrooms,Leominster,300000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100015,"provided further, that not less than $300,000 shall be expended to the Leominster public school district to purchase portable classrooms for all elementary schools in the district"
Leominster Public Schools Water Filtration System Improvements,Leominster,150000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100015,"provided further, that not less than $150,000 shall be expended for the Leominster public schools to upgrade the water filtration systems throughout the district"
Local Rapid Recovery Plan Implementation,Winchester,150000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $150,000 shall be expended to the town of Winchester to implement their Local Rapid Recovery Plan"
Louison House,North Adams,75000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided, that not less than $75,000 shall be provided to Louison House, Inc. for the operation of an emergency homeless shelter in northern Berkshire County"
Lowell Vacant Store Fronts,Lowell,100000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,70022023,"provided further, that not less than $100,000 shall be expended to the city of Lowell for the Vacant Storefront Program to rehabilitate vacant and underutilized spaces in the city’s downtown area"
Ludlow 250th Cultural Celebration,Ludlow,50000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,15992043,"provided further, that not less than $50,000 shall be expended for the cultural celebration of the 250th anniversary of the town of Ludlow"
Ludlow Mills Affordable Housing Opportunities,Ludlow,2000000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $2,000,000 shall be expended for the Westmass Area Development Corporation for redevelopment and expansion of properties for continued predeveloped expenses associated with additional growth opportunities of affordable housing at the Ludlow Mills"
Ludlow Mills Water and Sewer Infrastructure,Ludlow,1000000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,15992032,"provided further, that not less than $1,000,000 shall be expended for the Westmass Area Development Corporation for new water and sewer infrastructure for the Ludlow Mills redevelopment located within an environmental justice community"
Lunenburg Primary School Hazardous Materials Abatement,Lunenburg,50000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100015,"provided further, that not less than $50,000 shall be expended to the Lunenburg primary school for hazardous materials abatement"
Lupa Zoo in Ludlow,Ludlow,50000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,70021530,"provided further, that not less than $50,000 shall be expended to the Lupa Zoo in the town of Ludlow to provide Americans with Disabilities Act and handicapped accessibility improvements"
Lynn Climate Resiliency Initiatives,Lynn,300000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992031,"provided further, that not less than $300,000 shall be expended for the Lynn department of community development for climate resiliency initiatives in the city of Lynn"
Lynn Economic Development,Lynn,300000,SEA - Department Of Business And Technology,nhat.le@mass.gov,15992043,"provided further, that not less than $300,000 shall be expended to the Lynn Economic Development & Industrial Corporation of Lynn to distribute grants to businesses that have been adversely impacted by the 2019 novel coronavirus pandemic, with preference given to women-owned and minority-owned businesses"
Lynn Senior Center,Lynn,1000000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $1,000,000 shall be expended for the construction of a senior center in the city of Lynn"
Lynn Waterfront Coastal Resiliency Project,Lynn,100000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992031,"provided further, that not less than $100,000 shall be expended for shoreline restoration planning in Lynn Harbor to mitigate current erosion, create a resilient shoreline adjacent to critical infrastructure, and support the transformation of a landfill into a 30-acre park"
Macomber School HVAC Systems,Westport,150000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100015,"provided further, that not less than $150,000 shall be expended for the Westport community schools for the installation of heating, ventilation and air conditioning systems at the Macomber school"
"Maddie's Promise, Inc.",Hingham,25000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,15992058,"provided further, that not less than $25,000 shall be expended to Maddie’s Promise, Inc. in the town of Hingham"
Main South Business Association,Worcester,50000,SEA - Department Of Business And Technology,nhat.le@mass.gov,15992043,"provided further, that not less than $50,000 shall be expended for the Main South Business Association in Worcester to further assist minority entrepreneurs with technical assistance, legal services, and compliance training"
Main South Community Development Corp in Worcester,Worcester,200000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $200,000 shall be expended for the Main South Community Development Corporation in the city of Worcester for the purpose of establishing 7 commercial rental units with lease-to-own agreements executed with move-in tenants"
Maintenance of Food Pantry and Address Food Insecurity,Bedford,100000,MDAR - Department Of Agricultural Resources,cullen.roberts2@mass.gov,15992050,"provided further, that not less than $100,000 shall be expended to the town of Bedford for the maintenance of a food pantry or to otherwise address food insecurity in Bedford"
Major Taylor Museum Worcester,Worcester,300000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,15992043,"provided further, that not less than $300,000 shall be expended for the construction of the Major Taylor Museum in Worcester"
Malden Energy Efficient Street Lighting,Malden,85000,ENE - Department Of Energy Resources,Marcelle.T.Payen@mass.gov,20000103,"provided further, that not less than $85,000 shall be expended to the city of Malden for the replacement of inefficient street lighting with energy efficient alternatives"
Malden Overcoming Addiction Club 24 Facility Upgrades,Malden,60000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $60,000 shall be expended to Malden Overcoming Addiction, Inc. in the city of Malden for Club 24, Inc. facility upgrades and capital improvements"
Malden River Works Project,Malden,150000,EEA - Executive Office Of Environmental Affairs,serafina.t.zeringo@mass.gov,20000103,"provided further, that not less than $150,000 shall be expended to the city of Malden for the Malden River Works project for environmental remediation and climate resilience along the Malden River"
Malden Urban and Community Foresty Greening,Malden,100000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992031,"provided further, that not less than $100,000 shall be expended for the city of Malden for urban and community forestry greening"
Malden YWCA Wilcox Hall Energy Efficiency Upgrades,Malden,100000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,70100013,"provided further, that not less than $100,000 shall be expended to the Young Women’s Christian Association of Malden for energy efficiency upgrades and other capital improvements to Wilcox Hall in the city of Malden"
Mansfield Youth Baseball,Mansfield,50000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,70021530,"provided further, that not less than $50,000 shall be allocated to regional youth baseball in the town of Mansfield to make improvements to 7 baseball field bleachers"
Marblehead Resiliency Assessment,Marblehead,200000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992031,"provided further, that not less than $200,000 shall be expended for a resiliency assessment of coastal infrastructure in town of Marblehead"
Margaret Fuller Neighborhood House,Cambridge,50000,MDAR - Department Of Agricultural Resources,cullen.roberts2@mass.gov,15992050,"provided further, that not less than $50,000 shall be expended for the Margaret Fuller Neighborhood House in the city of Cambridge"
Marian Manor Nursing Home,Boston,250000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further that not less than $250,000 shall be expended for the Marian Manor for The Aged and Inform Nursing Home to modernize and replace outdated mechanics and recover extraordinary and unreimbursed expenditures incurred due to the novel coronavirus 2019"
Marine Park Playground Restoration and Improvement,Boston,100000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992031,"provided further, that not less than $100,000 shall be expended for continued renovations and improvements to playgrounds in Marine park in the South Boston section of Boston"
Marshfield Chamber of Commerce,Marshfield,50000,SEA - Department Of Business And Technology,nhat.le@mass.gov,70022023,"provided further, that not less than $50,000 shall be expended to the Marshfield Chamber of Commerce, Inc. to provide additional supports to small businesses in the form of grants"
Martin Luther King Jr Family Services Emergency Food Pantry,Springfield,50000,MDAR - Department Of Agricultural Resources,cullen.roberts2@mass.gov,15992050,"provided further, that not less than $50,000 shall be expended to Martin Luther King, Jr. Family Services, Inc. in Springfield for their Emergency Food Distribution Program"
Mass Fair Housing Center,Holyoke,100000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided, that not less than $100,000 shall be expended for the Massachusetts Fair Housing Center, Inc. in the city of Holyoke to provide housing and eviction prevention services to those adversely impacted by the 2019 novel coronavirus pandemic"
Mass211 Hotline,Framingham,1000000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $1,000,000 shall be expended for the Mass211, Inc.’s statewide hotline to connect residents to mental health services, substance abuse disorder treatment supports and other critical health and human services"
Massachusetts Alliance for Supportive Housing,Statewide,15000000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,15992023,"provided further, that not less than $15,000,000 shall be expended for the Massachusetts Alliance for Supportive Housing LLC for the creation of supportive housing to address the public health emergency of homelessness, exacerbated by COVID-19, due to densely populated congregate shelters and growing encampments of unsheltered individuals"
"Massachusetts Alliance of Boys & Girls Clubs, Inc.",Statewide,10000000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992047,"provided further, that the department shall award not less than $10,000,000 to the Massachusetts Alliance of Boys & Girls Clubs, Inc., which shall be distributed among its member organizations"
Massachusetts Alliance of Portuguese Speakers,Cambridge,50000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $50,000 shall be expended for the Massachusetts Alliance of Portuguese Speakers, Inc. in the city of Cambridge"
Massachusetts Arts Stagecraft Initiative,Boston,500000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,15992043,"provided further, that not less than $500,000 shall be expended for the Boston Arts Summer Institute, Inc., to operate the Massachusetts Arts Stagecraft Initiative to support the theater arts and entertainment industry directly impacted by the 2019 novel coronavirus pandemic, through job training, workforce development and diversification"
Massachusetts Down Syndrome Congress,Statewide,500000,LWD - Executive Office Of Labor And Workforce Development,sheila.l.tunney2@mass.gov,15992037,"provided further, that not less than $500,000 shall be expended to the Massachusetts Down Syndrome Congress, Inc. for the Your Next Star Employment Academy to provide job training and job placement for individuals with Down syndrome whose jobs were eliminated during the 2019 novel pandemic"
Massachusetts Fallen Heroes,Boston,75000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $75,000 shall be expended to Massachusetts Fallen Heroes, Inc."
Massachusetts Military Support Foundation,Statewide,500000,MDAR - Department Of Agricultural Resources,cullen.roberts2@mass.gov,15992050,"provided further, that not less than $500,000 shall be expended to the Massachusetts Military Support Foundation, Inc. for the operation of empowerment centers and to support the distribution of food to veterans in need in the counties of Barnstable, Bristol, Dukes, Essex, Hampden, Plymouth, Suffolk and Worcester; provided further, that these funds shall be available for this purpose until the end of fiscal year 2026"
Massachusetts Military Support Foundation,Worcester,1000000,MDAR - Department Of Agricultural Resources,cullen.roberts2@mass.gov,15992050,"provided further, that not less than $1,000,000 shall be expended to the Massachusetts Military Support Foundation, Inc. for capacity-building at its headquarters in the county of Worcester to support the operation of empowerment centers and the distribution of food to veterans in need"
Massachusetts Partnerships for Youth Mental Health Supports for Schools,Statewide,400000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100013,"provided further, that not less than $400,000 shall be expended for the Massachusetts Partnerships for Youth, Inc. to expand access to The School Mental Health Leadership Institute, designed to assist school districts in developing capacity and building a comprehensive school mental health system"
Massachusetts Water Resource Authority Study,Greater Boston,300000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,15992032,"and provided further, that not less than $300,000 shall be expended for the Massachusetts Water Resources Authority to conduct a study evaluating the feasibility of expanding the authority’s current service area to provide water and sewage collection, treatment, and disposal services to municipalities outside the authority’s current service area"
MassHealth Accountable Care Organization,Boston,5000000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,15992028,"provided further, that not less than $5,000,000 shall be expended to a 501(c)(3) MassHealth accountable care organization solely governed by federally qualified health centers to be expended for federally qualified health centers to support the current federally qualified community health centers project to update and improve electronic health record systems to be administered by the executive office of health and human services"
Mattapan Square Main Streets,Boston,50000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $50,000 shall be expended to Mattapan Square Main Streets, Inc."
Mattapoisett Senior Housing Generator,Boston,75000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $75,000 shall be expended for the installation of a generator at Mattapoisett Senior Housing in Mattapoisett"
McPherson Teen Center Campus,Beverly,200000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,70100013,"provided further, that not less than $200,000 shall be expended for enhancements to the McPherson Teen Center campus in the city of Beverly"
Medford Main Street Safety,Medford,500000,DOT - Massachusetts Department Of Transportation,jon.lenicheck@dot.state.ma.us,15992058,"provided further, that not less than $500,000 shall be expended for the design and reconstruction of traffic signals at the intersections of Mystic avenue and Main street, Main street and the state highway route 16 eastbound ramp, Main street and the state highway route 16 westbound ramp and Medford square in the city of Medford"
Medford Recreational Area Upgrades and Expansion,Medford,350000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992031,"provided further, that not less than $350,000 shall be expended for upgrades and expansion of the recreational area in the city of Medford to allow the use of the facility in the spring, summer and fall seasons"
Medford Tree Planting and Stump Removal,Medford,100000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992031,"provided further, that not less than $100,000 shall be expended for tree planting and stump removal in Medford"
Medical OnSite Academy,Boston,200000,DPH - Department Of Public Health,robert.w.oliver2@mass.gov,45130101,"provided, that not less than $200,000 shall be expended for a new Medical OnSite Academy to address the behavioral health needs of those employees working in the medical field, including, but not limited to, critical incident stress management, substance abuse, post-traumatic stress disorder, issues resulting from increased stress due to the COVID-19 pandemic, staffing shortages and workplace violence in the medical field"
Medway Water Treatment Plan,Medway,350000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,15992058,"provided further, that not less than $350,000 shall be expended to the town of Medway for costs associated with the construction of a water treatment plant"
Melrose Economic Recovery Coordination,Melrose,75000,SEA - Department Of Business And Technology,nhat.le@mass.gov,15992043,"provided, that not less than $75,000 shall be expended to the city of Melrose for economic recovery efforts in support of its small business and nonprofit sectors"
Memorial School Upgrades,West Springfield,250000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,70100015,"provided further, that not less than $250,000 shall be expended for the city of West Springfield for heating, ventilation and air conditioning upgrades and the expansion of memorial school"
Menino Arts Center,Boston,25000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,70021530,"provided further, that not less than $25,000 shall be expended for the operation of the programs of the Menino Arts Center in the Hyde Park section of the city of Boston"
Mental Health Association in Hampden-Wilbraham Regional School District,Springfield,115000,DMH - Department Of Mental Health,stephen.cidlevich@mass.gov,50110101,"provided, that not less than $115,000 shall be expended for the Mental Health Association to meet the mental health needs of children in the Hampden-Wilbraham regional school district and for the implementation of a pilot program to address the implications of the 2019 novel coronavirus on children’s mental health, which may serve as a statewide pilot"
Mental Health Counselor for Barnstable Police Department,Barnstable,60000,DMH - Department Of Mental Health,stephen.cidlevich@mass.gov,50110101,"provided further, that not less than $60,000 shall be expended for the hiring of a mental health counselor at the Barnstable police department"
Mental Health Counselor for Yarmouth Police Department,Yarmouth,60000,DMH - Department Of Mental Health,stephen.cidlevich@mass.gov,50110101,"provided further, that not less than $60,000 shall be expended for the hiring of a mental health counselor at the Yarmouth police department"
Merchants Way Revitalization,Wareham,50000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $50,000 shall be expended to the town of Wareham for the revitalization of Merchants Way"
Merrimac Emergency Shelter Generator,Merrimac,95000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $95,000 shall be expended to the town of Merrimac for the purchase of a generator for its emergency shelter"
Merrimack River Watershed Council,Merimack Valley,20000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,20000015,"provided further, that not less than $20,000 shall be expended to the Merrimack River Watershed Council, Inc. for watershed planning, water testing and coordinated projects to reduce combined sewer overflows in the Merrimack river"
Merrimack Valley Food Infrastructure,Lawrence,250000,DPH - Department Of Public Health,robert.w.oliver2@mass.gov,45130101,"provided further, that not less than $250,000 shall be used expended for UTEC, Inc. for food infrastructure, training, and food distribution services"
Merrimack Valley Planning Commission Water and Sewer Infrastructure,Merrimack Valley,300000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,20000103,"provided further, that not less than $300,000 shall be expended to the Merrimack Valley Planning Commission for water and sewer infrastructure including, but not limited to, back-up generators to ensure treatment of effluent prior to discharge into the river and skilling equipment to remove debris and contaminants from the river"
Merrimack Valley Prevention and Substance Abuse Project,Merrimack Valley,20000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $20,000 shall be expended to the Merrimack Valley Prevention and Substance Abuse Project, Inc. toward services around treatment, supportive resources, prevention and education"
Merrimack Valley Public Safety Youth Center,Lawrence,200000,DPH - Department Of Public Health,robert.w.oliver2@mass.gov,45130101,"provided further, that not less than $200,000 shall be expended to the Merrimack Valley Public Safety Youth Center operated by Lawrence Family Development, Inc. in the city of Lawrence to further their programs to provide programming for at-risk youth and gun violence prevention"
Methuen High School Students Against Destructive Decisions,Methuen,20000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100013,"provided further, that not less than $20,000 shall be expended to Methuen high school for the Students Against Destructive Decisions program"
MetroWest Regional Transit Authority for Micro-Transit Vehicles,MetroWest,50000,DOT - Massachusetts Department Of Transportation,jon.lenicheck@dot.state.ma.us,15992032,"provided further, that not less than $50,000 shall be expended for the MetroWest Regional Transit Authority for the deployment of 2 micro-transit vehicles in the center of the town of Hudson, to provide in-town transportation with connection to fixed routes in the city of Marlborough for Saturday service"
Microfab Cleanup in Amesbury,Amesbury,75000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992031,"provided further, that not less than $75,000 shall be expended for the cleanup of contamination at the Microfab site on state route 110 in the city of Amesbury"
Middlesex Canal Association,Billerica,50000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,15992043,"provided further, that not less than $50,000 shall be expended for capital improvements for the Middlesex Canal Museum renovation"
Middlesex County Restoration Center,Middlesex County,5000000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,15992026,"provided further, that not less than $5,000,000 shall be transferred to the Criminal Justice and Community Support Trust Fund established in section 2QQQQQ of chapter 29 of the General Laws for the implementation of a county restoration center in Middlesex county to be overseen by the Middlesex County Restoration Center Commission to divert persons suffering from mental health or substance use conditions who interact with law enforcement or the court system during a pre-arrest investigation or the pre-adjudication process from lock-up facilities and hospital emergency departments to appropriate treatment"
Milford Community Impact Substance Abuse and Intervention Program,Milford,150000,DMH - Department Of Mental Health,stephen.cidlevich@mass.gov,50110101,"provided further, that not less than $150,000 shall be expended for Community Impact of Milford to maintain a regional substance abuse outreach, intervention, recovery and outpatient program in the greater Milford area"
Mill Brook Climate Resilience Initiative,Arlington,200000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992031,"provided further, that not less than $200,000 shall be expended for the town of Arlington for construction, upgrades and improvements to Mill brook"
Millbury Bridge Repair,Millbury,130000,DOT - Massachusetts Department Of Transportation,jon.lenicheck@dot.state.ma.us,15992058,"provided further, that not less than $130,000 shall be expended to the town of Millbury for bridge replacement or repairs"
Millbury Storm Drain Cleaning,Millbury,19000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,20000015,"provided further, that not less than $19,000 shall be expended to the town of Millbury for the cleaning of drainage lines"
Millville Elementary School Patio,Millville,45000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100015,"provided further, that not less than $45,000 shall be expended for upgrades to an outdoor patio area for classes to be held at the Millville elementary school in the town of Millville"
Millville Public Safety Improvements,Millville,75000,EPS - Executive Office Of Public Safety & Homeland Security,Brian.Merrick@mass.gov,15992058,"provided further, that not less than $75,000 shall be expended to the town of Millville for public safety improvements to its highway department shed"
"Milton Community Food Pantry, Inc.",Milton,5000,MDAR - Department Of Agricultural Resources,cullen.roberts2@mass.gov,15992050,(d) the Milton Community Food Pantry Incorporated
Milton Community Health Assessment,Milton,30000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further that $30,000 be allocated to the town of Milton for a community health assessment"
Milton Council on Aging Staffing,Milton,68000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that $68,000 be expended for wellness classes and additional staffing at the council on aging in the town of Milton"
Milton School Building HVAC Improvements,Milton,50000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,70100015,"provided further, that not less than $50,000 shall be allocated to the town of Milton for improvements to the heating, ventilation and air conditioning systems in the Milton public schools"
MissionSAFE Workforce Development,Boston,100000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $100,000 shall be expended for MissionSAFE of Boston for the expansion of pre-apprenticeship and jobs skills programming, in partnership with established sports and arts-based workforce development programs and with bona fide training programs of building trades, laborers, carpenters, and other trades or locals targeting youth and young adults up to age 26, who because of violence or trauma are initially resistant to and need “step-up” bridge programming before effective participation in traditional apprenticeship programming"
Monoosnoc Brook in Leominster,Leominster,250000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,28000111,"provided further, that not less than $250,000 shall be expended to the city of Leominster for the repair of Monoosnoc brook"
Montgomery Town Hall,Montgomery,50000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,15992058,"provided further, that not less than $50,000 shall be expended to the town of Montgomery for renovations and improvements to Montgomery town hall"
More Than Words of Boston,Boston,100000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $100,000 shall be expended to be expended to More than Words of Boston"
Municipal Broadband Services in Northern Berkshire County,Berkshire County,230000,DOR - Department Of Revenue,krzywickil@dor.state.ma.us,15992032,"provided further, that not less than $230,000 shall be expended to upgrade and provide municipal broadband services in low-income and underserved communities in the towns of Adams, Cheshire, Clarksburg, Florida, Hancock, Lanesborough, New Ashford, and Williamstown and the city of North Adams, of which, not less than $40,000 shall be expended for the town of Florida"
Museum of African American History,Boston,50000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,15992043,"provided further, that not less than $50,000 shall be expended for the Museum of African American History, Incorporated"
Museum of Science STEM Program,Boston,300000,EOE - Executive Office Of Education,Joanne.M.Puopolo@mass.gov,70100013,"provided further, that not less than $300,000 shall be expended for the Museum of Science, Boston to hire and retain science, technology, engineering and mathematics educators to help residents access STEM education at the museum and virtually through MOS at School"
NAACP Boston Branch,Boston,100000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $100,000 shall be expended for the NAACP Boston branch"
Nahatan Village Sewer Line Replacement,Norwood,100000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $100,000 shall be expended for the Norwood housing authority for Nahatan Village for the replacement of sewer lines"
Nantasket Beach Boardwalk in Hull,Hull,250000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,28000111,"provided further, that not less than $250,000 shall be expended to the town of Hull for immediate improvements and emergency repairs to the Nantasket beach boardwalk area"
Natick After School Support,Natick,150000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100013,"provided further, that not less than $150,000 shall be expended for the Natick public schools for after-school tutoring support and mental health services"
Natick Housing Authority,Natick,100000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $100,000 shall be expended for the Natick Housing Authority to provide upgrades at housing facilities, including improvements related to kitchens, generators emergency management, and accessibility"
Needham Housing Authority Capital Improvements,Needham,1250000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $1,250,000 shall be expended for capital improvements to state-aided public housing in the town of Needham"
Neighborhood Stabilization in Boston's South End,Boston,550000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,15992058,"provided further, that not less than $550,000 shall be expended to Inquilinos Boricua En Accion, Inc. for the stabilization of neighborhoods in the South End section of the city of Boston"
"Neighbors Helping Neighbors, Inc. for Services Addressing Food Insecurity",South Hadley,100000,MDAR - Department Of Agricultural Resources,cullen.roberts2@mass.gov,15992050,"provided further, that not less than $100,000 shall be expended to Neighbors Helping Neighbors, Inc. in South Hadley to expand services addressing food insecurity"
Neponest River Regional Chamber,Boston,100000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,15992058,"provided further, not less than $100,000 shall be expended to the Neponset River Regional Chamber for small businesses within the region"
Neponset River Access,Boston,75000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992031,"provided further, that not less than $75,000 shall be expended to expand the Edgewater and Doyle park plans to provide access to the Neponset river for the Belnel neighborhood in the Hyde Park section of the city of Boston"
Network for Social Justice Anti-Racism Efforts,Winchester,25000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $25,000 shall be expended to the Network for Social Justice, Inc. in the town of Winchester to support expanded anti-racism training, hate crimes data collection and other efforts"
New Bedford Art Museum,New Bedford,150000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,15992043,"provided further, that not less than $150,000 shall be expended for the New Bedford Art Museum"
New Bedford Cape Verdean Association,New Bedford,200000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $200,000 shall be expended for the Cape Verdean Association in New Bedford"
New Bedford Festival Theater,New Bedford,50000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,15992043,"provided further, that not less than $50,000 shall be expended for the New Bedford Festival Theater"
New Braintree Town Hall,New Braintree,50000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,15992058,"provided further, that not less than $50,000 shall be expended for town hall improvements in the town of New Braintree"
New England Aquarium,Boston,1000000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,15992043,"provided further, that not less than $1,000,000 shall be expended to the New England Aquarium Corporation for maintenance upgrades and other improvements including those necessary for the operation of facilities operated by the New England Aquarium Corporation in the cities of Boston and Quincy"
New England Center for Children,Southborough,1000000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100013,"provided, that not less than $1,000,000 shall be expended for the extraordinary and unreimbursed 2019 novel coronavirus pandemic-related expenditures incurred by the New England Center for Children"
New England Farm Workers Council Childcare,Springfield,100000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $100,000 shall be expended for the New England Farm Workers’ Council, Inc. for building capacity in the childcare provider system in predominately Latino communities"
New England Farm Workers Council Employment and Training,Springfield,100000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $100,000 shall be expended for the New England Farm Workers’ Council, Inc for education, employment, training and community networking opportunities for individuals and young adults"
New England Historic Genealogical Society,Statewide,500000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,15992043,"provided further, that not less than $500,000 shall be expended to the New England Historic Genealogical Society"
New England Public Media,Amherst,200000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $200,000 shall be expended for community engagement and education space for New England Public Media, Inc."
